127.0.0.1 - - [23/Nov/2022:10:21:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:44:05 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 22936
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:44:05 +0900] "GET /freeeat/views/place/resources/image/recent.png HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:44:13 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 22925
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:44:13 +0900] "GET /freeeat/views/place/resources/image/recent.png HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:44:31 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 22937
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:44:31 +0900] "GET /freeeat/views/place/resources/image/recent.png HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:44:32 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 22937
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:44:32 +0900] "GET /freeeat/views/place/resources/image/recent.png HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:44:32 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 22937
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:44:32 +0900] "GET /freeeat/views/place/resources/image/recent.png HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:44:45 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 22936
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:44:45 +0900] "GET /freeeat/views/place/resources/image/recent.png HTTP/1.1" 404 873
